keyword,search_volume,position,etv,cpc,competition,intent,url,serp_features
shin pads for 5 year olds,390,39,0.82,1.0299999713897705,1,transactional,https://www.footballparent.co.uk/football-gear/shin-pads/best-shin-pads-for-kids-football,organic people_also_ask compare_sites popular_products people_also_search video related_searches images
open academy trials,390,40,0.82,1.5899999141693115,0.03999999910593033,informational,https://www.footballparent.co.uk/academy-trials,ai_overview organic people_also_ask related_searches images
best shin pads soccer,390,78,0.82,2.069999933242798,1,transactional,https://www.footballparent.co.uk/football-gear/shin-pads/best-shin-pads-for-kids-football,ai_overview compare_sites popular_products people_also_ask organic video discussions_and_forums related_searches images
jpl team,320,12,4.80,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic ai_overview people_also_ask related_searches images
chelsea development centre,260,11,3.90,2.130000114440918,0.029999999329447746,navigational,https://www.footballparent.co.uk/academy-pathway/chelsea-fc-development-centre-guide,organic people_also_ask related_searches images
category 3 academies list,260,19,1.33,,0,navigational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
cat 1 academy,260,21,1.12,,0.009999999776482582,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images video related_searches
cat 3 academies list,260,21,1.12,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
jr football leagues,260,40,0.55,,0.019999999552965164,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,ai_overview organic people_also_ask find_results_on local_pack related_searches images
how to get in a football academy,260,47,0.55,1.0700000524520874,0.20999999344348907,informational,https://www.footballparent.co.uk/academy-pathway,ai_overview people_also_ask organic video short_videos related_searches
how to get into a football academy,260,50,0.55,1.0700000524520874,0.20999999344348907,informational,https://www.footballparent.co.uk/academy-pathway,ai_overview organic people_also_ask video short_videos related_searches
footballer qualifications,260,53,0.55,1.7899999618530273,0.09000000357627869,informational,https://www.footballparent.co.uk/football-development/how-to-become-a-professional-footballer,ai_overview people_also_ask organic video related_searches images
cat 2 academies,210,15,1.91,,0.009999999776482582,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview people_also_ask organic images related_searches
cat 3 academies,210,15,1.91,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,organic people_also_ask ai_overview images related_searches
junior shin pads football,210,16,1.58,1.0099999904632568,0.9100000262260437,transactional,https://www.footballparent.co.uk/football-gear/shin-pads/best-shin-pads-for-kids-football,organic compare_sites popular_products people_also_ask related_searches
cat 3 academy,210,17,1.24,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
category 3 academies,210,18,1.18,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
ppp pe,210,64,0.44,,0,informational,https://www.footballparent.co.uk/academy-pathway/what-is-eppp,organic people_also_ask related_searches knowledge_graph google_reviews
jpl football league,170,6,7.97,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
how much is a veo,170,20,0.87,1.7999999523162842,0.28999999165534973,informational,https://www.footballparent.co.uk/football-gear/veo-camera-alternatives,ai_overview organic people_also_ask compare_sites popular_products related_searches
veo alternatives,170,29,0.36,1.6600000858306885,1,commercial,https://www.footballparent.co.uk/football-gear/veo-camera-alternatives,ai_overview organic people_also_ask related_searches images
pjal,170,59,0.36,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic ai_overview related_searches images
chelsea player development programme,140,7,6.57,2.75,0.009999999776482582,informational,https://www.footballparent.co.uk/academy-pathway/chelsea-fc-development-centre-guide,organic ai_overview people_also_ask related_searches images
etc near me,140,9,3.58,1.0299999713897705,0.019999999552965164,transactional,https://www.footballparent.co.uk/girls-football/emerging-talent-centres-explained,ai_overview organic people_also_ask related_searches
veo subscription cost uk,140,9,3.58,5.710000038146973,0.10000000149011612,commercial,https://www.footballparent.co.uk/football-gear/veo-camera-alternatives,ai_overview organic people_also_ask related_searches
veo camera price uk,140,11,2.10,1.159999966621399,0.8500000238418579,commercial,https://www.footballparent.co.uk/football-gear/veo-camera-alternatives,ai_overview organic people_also_ask related_searches popular_products
crystal palace academy trials,140,13,1.58,2.1500000953674316,0.09000000357627869,informational,https://www.footballparent.co.uk/academy-pathway/crystal-palace-development-centre-guide,ai_overview organic people_also_ask related_searches images
category 3 football academy list,140,14,1.27,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask related_searches images
cat 3 football academy list,140,16,1.05,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
football development,140,19,1.05,3.7200000286102295,0.12999999523162842,informational,https://www.footballparent.co.uk/football-development,ai_overview local_pack people_also_ask organic video related_searches images
category 3 football academies list,140,18,0.78,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
how to join chelsea fc youth academy,140,20,0.60,4.070000171661377,0.12999999523162842,informational,https://www.footballparent.co.uk/academy-pathway/chelsea-fc-development-centre-guide,ai_overview people_also_ask organic related_searches
jpl trials,140,21,0.60,0.6100000143051147,0.03999999910593033,informational,https://www.footballparent.co.uk/parent-guides/how-to-get-into-the-jpl,organic ai_overview people_also_ask video related_searches images
crystal palace fc academy training ground,140,25,0.38,,0,navigational,https://www.footballparent.co.uk/academy-pathway/crystal-palace-development-centre-guide,ai_overview organic people_also_ask video related_searches knowledge_graph google_reviews images
development centres,140,29,0.34,,0.03999999910593033,informational,https://www.footballparent.co.uk/academy-pathway/uk-football-development-centres-explained,ai_overview organic people_also_ask find_results_on local_pack related_searches google_reviews images
arsenal soccer schools,140,25,0.32,0.8600000143051147,0.07999999821186066,informational,https://www.footballparent.co.uk/academy-pathway/arsenal-development-centre-guide,ai_overview organic people_also_ask related_searches knowledge_graph images
development centre,140,35,0.29,,0.03999999910593033,informational,https://www.footballparent.co.uk/academy-pathway/uk-football-development-centres-explained,find_results_on local_pack organic people_also_ask related_searches images
development in football,140,40,0.29,3.7200000286102295,0.12999999523162842,informational,https://www.footballparent.co.uk/football-development,ai_overview organic people_also_ask video scholarly_articles related_searches images
premier league academies,140,47,0.29,2.450000047683716,0.05999999865889549,informational,https://www.footballparent.co.uk/academy-pathway,organic ai_overview people_also_ask related_searches
how to join football academy,140,49,0.29,1.5199999809265137,0.28999999165534973,informational,https://www.footballparent.co.uk/academy-pathway,ai_overview people_also_ask organic video related_searches
how to join a football academy,140,50,0.29,1.5199999809265137,0.28999999165534973,informational,https://www.footballparent.co.uk/academy-pathway,ai_overview organic people_also_ask related_searches
player pathway,140,58,0.29,3.7799999713897705,0.15000000596046448,navigational,https://www.footballparent.co.uk/academy-pathway,ai_overview organic images people_also_ask video related_searches
football parent,110,4,10.70,,0,informational,https://www.footballparent.co.uk/,ai_overview organic video people_also_ask related_searches knowledge_graph images
parents football,110,11,2.82,,0,informational,https://www.footballparent.co.uk/,organic images ai_overview video people_also_ask related_searches knowledge_graph
eppp football,110,10,2.17,,0,informational,https://www.footballparent.co.uk/academy-pathway/what-is-eppp,ai_overview organic people_also_ask scholarly_articles related_searches images
cat 3 football academies,110,13,1.65,,0.019999999552965164,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
category 3 football academies,110,13,1.65,,0.019999999552965164,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
category 3 football academy,110,13,1.24,,0.019999999552965164,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask related_searches
jpl youth league,110,12,1.24,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
cat 1 football academies,110,17,0.65,,0.009999999776482582,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
junior premier league uk,110,15,0.65,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches
cat 1 football academy,110,18,0.62,,0.009999999776482582,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
size 4 football age,110,19,0.56,0.4399999976158142,0.9800000190734863,informational,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,ai_overview images people_also_ask organic related_searches
hale end training ground,110,20,0.47,,0,navigational,https://www.footballparent.co.uk/academy-pathway/arsenal-development-centre-guide,ai_overview organic people_also_ask images related_searches knowledge_graph google_reviews
pathway football,110,22,0.30,,0.019999999552965164,informational,https://www.footballparent.co.uk/academy-pathway,organic related_searches images
what is a football academy,110,24,0.30,,0,informational,https://www.footballparent.co.uk/academy-pathway/how-academy-football-works,ai_overview people_also_ask organic short_videos related_searches images
