domain_from,domain_from_rank,url_from,page_from_title,url_to,anchor,dofollow,is_lost,first_seen,last_seen,item_type,backlink_spam_score,is_indirect_link
www.fourfourtwo.com,455,https://www.fourfourtwo.com/performance/tactics/iain-dowie-defending-10-men,Iain Dowie: Defending with 10 men | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2021-06-16 14:18:21 +00:00,2026-08-02 04:07:42 +00:00,anchor,0,false
www.fourfourtwo.com,455,https://www.fourfourtwo.com/performance/training/staying-performance-focused-kick,Staying performance focused before kick-off | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2020-08-04 00:28:40 +00:00,2026-08-02 04:02:39 +00:00,anchor,0,false
www.fourfourtwo.com,455,https://www.fourfourtwo.com/performance/tactics/playing-offside-trap-full-back-dos-and-donts,Playing the offside trap as a full-back: the do's and don'ts | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-10-18 07:40:51 +00:00,2026-07-24 08:10:40 +00:00,anchor,0,false
www.fourfourtwo.com,455,https://www.fourfourtwo.com/performance/tactics/how-defend-when-youve-got-ball,How to defend when you’ve got the ball | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-11-15 06:04:10 +00:00,2026-07-24 08:09:56 +00:00,anchor,0,false
rockyhollowlakehouse.com,444,https://rockyhollowlakehouse.com/river-soccer-drill,Over The River Soccer Drill — Rockyhollowlakehouse,https://www.grassrootsfootball.co.uk/,Grassroots Football Association,true,false,2026-08-15 06:12:46 +00:00,2026-08-15 06:12:46 +00:00,anchor,5,false
dnpric.es,443,http://dnpric.es/?ss=dagrasso.com,"DNPric.es | Domain Name Prices, the most complete database of 4,500,000+ [premium] online asset sales worth $8,000,000,000.00+ of deals and much more",http://grassrootsfootball.co.uk/,visit,true,false,2024-03-05 08:01:01 +00:00,2025-09-26 11:17:06 +00:00,anchor,35,false
server1.fijin.com,420,http://server1.fijin.com/www.grassrootsfootball.co.uk,Grassrootsfootball.co.uk: Reviews and Comments | www.Grassrootsfootball.co.uk,http://grassrootsfootball.co.uk/,Grass Roots Football - Coming Soon,true,false,2026-09-21 20:43:37 +00:00,2026-09-21 20:43:37 +00:00,anchor,30,false
prlog.ru,419,https://prlog.ru/analysis/betredkings.com,"Betredkings.com - анализ сайта, seo характеристики сайта - бетредкингс точка ком",http://grassrootsfootball.co.uk/,,false,false,2022-03-19 00:21:51 +00:00,2026-06-27 01:35:46 +00:00,image,35,false
piclur.com,369,https://piclur.com/search/%23GrassrootsFootball,#grassrootsfootball search results - Piclur,https://grassrootsfootball.co.uk/article/how-to-become-a-pro-footballer,,true,true,2025-10-02 00:09:54 +00:00,2026-03-21 20:47:32 +00:00,anchor,0,false
piclur.com,368,https://piclur.com/search/%23GrassrootsFootball,#grassrootsfootball search results - Piclur,https://grassrootsfootball.co.uk/article/common-mistakes-of-junior-football-coaches,,true,true,2026-03-21 20:47:32 +00:00,2026-04-13 20:20:18 +00:00,anchor,0,false
piclur.com,368,https://piclur.com/search/%23GrassrootsFootball,#grassrootsfootball search results - Piclur,https://grassrootsfootball.co.uk/article/many-benefits-of-your-child-playing-junior-football,,true,true,2026-03-21 20:47:32 +00:00,2026-04-13 20:20:18 +00:00,anchor,0,false
piclur.com,368,https://piclur.com/search/%23GrassrootsFootball,#grassrootsfootball search results - Piclur,https://www.grassrootsfootball.co.uk/article/building-mental-resilience-in-young-footballers,,true,true,2026-03-21 20:47:32 +00:00,2026-04-13 20:20:18 +00:00,anchor,0,false
piclur.com,368,https://piclur.com/search/%23GrassrootsFootball,#grassrootsfootball search results - Piclur,https://www.grassrootsfootball.co.uk/article/why-dont-my-players-listen-at-training,grassrootsfootball.co.uk/article/why-do…,false,false,2026-04-13 20:20:18 +00:00,2026-04-13 20:20:18 +00:00,anchor,15,false
piclur.com,368,https://piclur.com/search/%23GrassrootsFootball,#grassrootsfootball search results - Piclur,https://www.grassrootsfootball.co.uk/article/the-vital-role-of-facilities-in-uk-junior-grassroots-football,grassrootsfootball.co.uk/article/the-vi…,false,false,2026-04-13 20:20:18 +00:00,2026-04-13 20:20:18 +00:00,anchor,15,false
piclur.com,368,https://piclur.com/search/%23GrassrootsFootball,#grassrootsfootball search results - Piclur,https://www.grassrootsfootball.co.uk/,grassrootsfootball.co.uk,false,false,2026-03-21 20:47:32 +00:00,2026-04-13 20:20:18 +00:00,anchor,15,false
domains.tntcode.com,345,https://domains.tntcode.com/ip/172.67.191.188,Domains on ip 172.67.191.188,https://grassrootsfootball.co.uk/,,false,false,2023-08-23 18:21:56 +00:00,2025-09-18 01:32:52 +00:00,anchor,35,false
drjack.world,333,https://drjack.world/report/76200,👲 Domain Report 👲,https://grassrootsfootball.co.uk/,grassrootsfootball.co.uk,false,false,2026-01-01 17:10:21 +00:00,2026-08-18 03:21:37 +00:00,anchor,50,false
bye.fyi,326,https://bye.fyi/report/1778843,👲 Domain Report 👲,https://grassrootsfootball.co.uk/,grassrootsfootball.co.uk,false,false,2024-12-22 17:59:30 +00:00,2025-10-09 05:37:26 +00:00,anchor,50,false
